iter	RMSE
0	35.69688387
1	30.5871158
2	27.03505663
3	24.4583664
4	22.55559182
5	21.02221572
6	19.61478928
7	18.73636123
8	17.76353034
9	17.09875824
10	16.42988733
11	16.10014106
12	15.77896212
13	15.55035344
14	15.2193791
15	14.93874429
16	14.59411117
17	14.46502649
18	14.27210455
19	14.10506005
20	14.02479436
21	13.89798432
22	13.74705862
23	13.6020305
24	13.44515728
25	13.33902048
26	13.28303906
27	13.19110269
28	13.11296984
29	13.06471657
30	12.88974785
31	12.85849022
32	12.7933743
33	12.70986457
34	12.54412801
35	12.40968882
36	12.32047897
37	12.1845716
38	12.09019449
39	11.93910842
40	11.83852773
41	11.74353622
42	11.63909405
43	11.53621646
44	11.45069924
45	11.36619495
46	11.30961665
47	11.2967883
48	11.19779843
49	11.0495543
50	10.94939768
51	10.8615829
52	10.80053782
53	10.71743853
54	10.61145978
55	10.49995838
56	10.36419347
57	10.29419484
58	10.2492558
59	10.20071901
60	10.12340189
61	10.06561556
62	9.984205878
63	9.937484761
64	9.869895854
65	9.836204013
66	9.781315039
67	9.68377087
68	9.64533884
69	9.597485372
70	9.531599468
71	9.488566731
72	9.449229432
73	9.377739562
74	9.339848752
75	9.317518515
76	9.297802275
77	9.249005285
78	9.217051648
79	9.180838924
80	9.154950839
81	9.095372151
82	9.0396403
83	8.995966451
84	8.93864273
85	8.880314981
86	8.815391306
87	8.760506226
88	8.715136846
89	8.662885356
90	8.616483129
91	8.584466412
92	8.559013857
93	8.523255334
94	8.49201353
95	8.476479428
96	8.441790988
97	8.410909694
98	8.395843125
99	8.368607565
100	8.343207922
101	8.300751842
102	8.297570235
103	8.290773565
104	8.24255312
105	8.241814422
106	8.231252463
107	8.203352695
108	8.160113356
109	8.158462148
110	8.133779753
111	8.086678282
112	8.056367544
113	8.038542975
114	7.96737741
115	7.919101222
116	7.911380837
117	7.881367297
118	7.856253281
119	7.81953636
120	7.782493033
121	7.742713305
122	7.708598377
123	7.693921524
124	7.664372515
125	7.649377613
126	7.623019135
127	7.551468016
128	7.526304082
129	7.502410488
130	7.480796095
131	7.47041284
132	7.45945464
133	7.448689761
134	7.445257725
135	7.40989319
136	7.390324657
137	7.35922319
138	7.344336003
139	7.337918478
140	7.305555883
141	7.28739921
142	7.274300253
143	7.256691044
144	7.234036731
145	7.211784501
146	7.183324674
147	7.167157677
148	7.140270392
149	7.118168821
