iter	Passed	Remaining
0	5	533
1	10	514
2	15	509
3	20	499
4	26	495
5	31	488
6	36	483
7	41	481
8	47	476
9	52	469
10	57	466
11	63	464
12	68	460
13	73	453
14	79	452
15	86	452
16	91	446
17	98	446
18	103	439
19	108	435
20	114	432
21	120	426
22	125	420
23	130	414
24	136	409
25	142	404
26	147	398
27	152	392
28	157	386
29	163	381
30	168	374
31	173	369
32	179	363
33	184	358
34	189	352
35	194	346
36	200	341
37	205	335
38	211	330
39	216	324
40	222	319
41	227	313
42	232	307
43	237	301
44	242	296
45	247	290
46	253	285
47	258	279
48	263	274
49	268	268
50	273	263
51	279	257
52	284	252
53	289	246
54	294	241
55	299	235
56	305	230
57	311	225
58	316	220
59	321	214
60	326	208
61	332	203
62	337	198
63	343	193
64	349	188
65	354	182
66	360	177
67	365	171
68	370	166
69	375	160
70	380	155
71	386	150
72	391	144
73	397	139
74	402	134
75	407	128
76	414	123
77	423	119
78	430	114
