dataset,lr,max_depth,n_estimators,metric,mean,std
Brazilian_houses,0.001,3,50,r2,0.07810150280477698,0.0014774548799332337
Brazilian_houses,0.001,3,50,mse,0.581252719122998,0.01422539360958136
Brazilian_houses,0.001,3,100,r2,0.1499283223166938,0.0026535234121897715
Brazilian_houses,0.001,3,100,mse,0.5359754222746401,0.013571900340499043
Brazilian_houses,0.001,3,500,r2,0.5435374505008534,0.009937109074785325
Brazilian_houses,0.001,3,500,mse,0.28785870449465145,0.011190008585922367
Brazilian_houses,0.001,3,1000,r2,0.7757916827234032,0.01448147789732411
Brazilian_houses,0.001,3,1000,mse,0.14144862567763128,0.011047252369801289
Brazilian_houses,0.001,5,50,r2,0.08336504524560111,0.0014518683040575773
Brazilian_houses,0.001,5,50,mse,0.5779331921201837,0.01410709863316192
Brazilian_houses,0.001,5,100,r2,0.16001539100154055,0.002787719394019995
Brazilian_houses,0.001,5,100,mse,0.5296170578823933,0.013487724144167847
Brazilian_houses,0.001,5,500,r2,0.5755614729991665,0.01049110561161413
Brazilian_houses,0.001,5,500,mse,0.2676736507223806,0.011130808898129573
Brazilian_houses,0.001,5,1000,r2,0.8094877295469567,0.015111499401923446
Brazilian_houses,0.001,5,1000,mse,0.1202093177841674,0.01114323984144777
Brazilian_houses,0.001,10,50,r2,0.08577958507463429,0.0016133691585786861
Brazilian_houses,0.001,10,50,mse,0.5764123893100257,0.014139026982041569
Brazilian_houses,0.001,10,100,r2,0.16431261047762305,0.003023653438775356
Brazilian_houses,0.001,10,100,mse,0.5269100966980722,0.013533783224541875
Brazilian_houses,0.001,10,500,r2,0.5880746522893399,0.011119525028277776
Brazilian_houses,0.001,10,500,mse,0.2597878457214454,0.01131119293610062
Brazilian_houses,0.001,10,1000,r2,0.8223801823664187,0.015643793160101237
Brazilian_houses,0.001,10,1000,mse,0.11208899470198372,0.011409621580542017
Brazilian_houses,0.01,3,50,r2,0.5448689382821323,0.010126945883365056
Brazilian_houses,0.01,3,50,mse,0.28702161221834854,0.011308145873933197
Brazilian_houses,0.01,3,100,r2,0.7777266130929618,0.014395200349779617
Brazilian_houses,0.01,3,100,mse,0.1402278290369888,0.0109717942927532
Brazilian_houses,0.01,3,500,r2,0.9828754675493732,0.01614088973491811
Brazilian_houses,0.01,3,500,mse,0.010893025143524086,0.010431360389235134
Brazilian_houses,0.01,3,1000,r2,0.9897760337507048,0.012595605935489735
Brazilian_houses,0.01,3,1000,mse,0.006518768007024204,0.008128040169982635
