dataset,k,weights,scaling,metric,mean,std
Brazilian_houses,2,uniform,0,r2,0.9703418865601126,0.007266711256378761
Brazilian_houses,2,uniform,1,r2,0.974232482775378,0.007644723897230482
Brazilian_houses,2,distance,0,r2,0.9716701020922024,0.007238237337103632
Brazilian_houses,2,distance,1,r2,0.9754517254577699,0.0073805575126763365
Brazilian_houses,5,uniform,0,r2,0.9690528568013992,0.006465298934114306
Brazilian_houses,5,uniform,1,r2,0.9724202474780803,0.005616382221060254
Brazilian_houses,5,distance,0,r2,0.9719761128656254,0.006473245448935654
Brazilian_houses,5,distance,1,r2,0.9750389443658685,0.005039487524790554
Brazilian_houses,7,uniform,0,r2,0.9668683199383296,0.006372832907370789
Brazilian_houses,7,uniform,1,r2,0.9705376375013716,0.00640873575863849
Brazilian_houses,7,distance,0,r2,0.9705717575471293,0.006526238331092301
Brazilian_houses,7,distance,1,r2,0.9738514735026064,0.0055126877633164565
Brazilian_houses,10,uniform,0,r2,0.9634685972707231,0.006097757926437906
Brazilian_houses,10,uniform,1,r2,0.9672651129393172,0.0069788674037307465
Brazilian_houses,10,distance,0,r2,0.9682326742846366,0.006384075681546689
Brazilian_houses,10,distance,1,r2,0.9715574545998138,0.005668318668371334
Brazilian_houses,25,uniform,0,r2,0.9542657048126278,0.0066780474443050375
Brazilian_houses,25,uniform,1,r2,0.9589229149867426,0.008824221742621556
Brazilian_houses,25,distance,0,r2,0.9610759967094502,0.007007656898708836
Brazilian_houses,25,distance,1,r2,0.964938503334157,0.0067571025298283766
Brazilian_houses,50,uniform,0,r2,0.9466681475215142,0.007379213885594298
Brazilian_houses,50,uniform,1,r2,0.9519831247946078,0.011049605507012061
Brazilian_houses,50,distance,0,r2,0.9548568047993312,0.007368924942156475
Brazilian_houses,50,distance,1,r2,0.9592839256596308,0.0082596147875277
Brazilian_houses,100,uniform,0,r2,0.936133529060975,0.00725720593990108
Brazilian_houses,100,uniform,1,r2,0.9428193529616195,0.013260557756758514
Brazilian_houses,100,distance,0,r2,0.9472984312570738,0.007465626968800004
Brazilian_houses,100,distance,1,r2,0.9526457909959213,0.009382597659279535
Brazilian_houses,250,uniform,0,r2,0.9147839707366634,0.008563056578841391
Brazilian_houses,250,uniform,1,r2,0.924694363668818,0.018467523042109104
Brazilian_houses,250,distance,0,r2,0.9337455443470185,0.008532439509176036
Brazilian_houses,250,distance,1,r2,0.9410439982596517,0.011826366368546441
wine,2,uniform,0,r2,0.281648137948446,0.047666163296510564
wine,2,uniform,1,r2,0.27976162300622265,0.05042363062281365
wine,2,distance,0,r2,0.33800133861325404,0.0485160458773686
wine,2,distance,1,r2,0.3374059805697869,0.051648219230219276
wine,5,uniform,0,r2,0.35128778401891764,0.03536627183121452
wine,5,uniform,1,r2,0.353350978060068,0.03617259582438523
wine,5,distance,0,r2,0.461790141602063,0.03555868365109355
wine,5,distance,1,r2,0.46290617779225063,0.036858301416885696
wine,7,uniform,0,r2,0.358785347727223,0.042196800896038285
wine,7,uniform,1,r2,0.3572976697117733,0.04483033296482071
wine,7,distance,0,r2,0.4824401726674171,0.03676970476936048
wine,7,distance,1,r2,0.4791195728380706,0.042024460737884135
wine,10,uniform,0,r2,0.35517195233657894,0.04341017252601447
wine,10,uniform,1,r2,0.3533342407221899,0.04384523765373581
wine,10,distance,0,r2,0.491261147669117,0.03757008315590438
wine,10,distance,1,r2,0.48781354379218644,0.040190884933169836
wine,25,uniform,0,r2,0.3500586018056625,0.032237348611668354
wine,25,uniform,1,r2,0.3487406081089356,0.03204394909277094
wine,25,distance,0,r2,0.5015425957855136,0.03831903741566316
wine,25,distance,1,r2,0.501176573373196,0.03862838655049828
wine,50,uniform,0,r2,0.34596578662769745,0.033014179423546786
wine,50,uniform,1,r2,0.34451115825110856,0.03081761156140432
wine,50,distance,0,r2,0.4987371929366005,0.042296262297757604
wine,50,distance,1,r2,0.49725458944523904,0.0411288313526675
wine,100,uniform,0,r2,0.32786973010551035,0.03174896688269755
wine,100,uniform,1,r2,0.32695492792691744,0.030697006503522365
wine,100,distance,0,r2,0.4863911717380244,0.04448129791966187
wine,100,distance,1,r2,0.4849356391282652,0.04319853156153282
wine,250,uniform,0,r2,0.28980913662555396,0.02621423590286964
wine,250,uniform,1,r2,0.28957687258363674,0.026613025697840187
wine,250,distance,0,r2,0.46561268147711987,0.04346367287994403
wine,250,distance,1,r2,0.46543336453748624,0.0428807611285195
ailerons,2,uniform,0,r2,0.6700153987400447,0.017794650954600862
ailerons,2,uniform,1,r2,0.7088769096474161,0.03253289829271703
ailerons,2,distance,0,r2,0.6714432739599598,0.017589356497999406
ailerons,2,distance,1,r2,0.7095378981166859,0.031803144106387564
ailerons,5,uniform,0,r2,0.7329006994965035,0.01345945798013006
ailerons,5,uniform,1,r2,0.7626998279432889,0.021209377432379484
ailerons,5,distance,0,r2,0.7356528033858489,0.013493124722337
ailerons,5,distance,1,r2,0.7648904717099715,0.021315112260576575
ailerons,7,uniform,0,r2,0.7387625251745119,0.012714164153561245
ailerons,7,uniform,1,r2,0.769284166452493,0.021194720592861177
ailerons,7,distance,0,r2,0.7422189304157858,0.012724904598266251
ailerons,7,distance,1,r2,0.7718286001184416,0.02092635928480021
ailerons,10,uniform,0,r2,0.7399033430777575,0.013530874463485188
ailerons,10,uniform,1,r2,0.7720414936264157,0.02245696668395322
ailerons,10,distance,0,r2,0.7438429259079954,0.013467440705624742
ailerons,10,distance,1,r2,0.7749661453996035,0.022154582844627957
