dataset,k,ks,order,scaling,metric,mean,std
Brazilian_houses,3,17,1,learned,r2,0.7699608952903685,0.32958293598468974
Brazilian_houses,3,17,1,no_scaling,r2,0.6802679225412837,0.5363637757396659
Brazilian_houses,3,17,2,learned,r2,0.704843311272899,0.4231297967663134
Brazilian_houses,3,17,2,no_scaling,r2,0.6803199074307086,0.5362195904030932
Brazilian_houses,3,22,1,learned,r2,0.6915706693047768,0.47707328849169206
Brazilian_houses,3,22,1,no_scaling,r2,0.660586572571738,0.585226221192477
Brazilian_houses,3,22,2,learned,r2,0.7664849303591953,0.33702049111782667
Brazilian_houses,3,22,2,no_scaling,r2,0.6605860597244153,0.5852215279379058
Brazilian_houses,3,23,1,learned,r2,0.7871209256198877,0.419041041801292
Brazilian_houses,3,23,1,no_scaling,r2,0.6617205124743631,0.579793226878944
Brazilian_houses,3,23,2,learned,r2,0.6985481008896386,0.41277288300981657
Brazilian_houses,3,23,2,no_scaling,r2,0.6671086708165566,0.5650459678853396
Brazilian_houses,3,24,1,learned,r2,0.8159420019918582,0.3541271215119576
Brazilian_houses,3,24,1,no_scaling,r2,0.6634163552739949,0.5726156942884548
Brazilian_houses,3,24,2,learned,r2,0.5709928595350889,0.513410854636721
Brazilian_houses,3,24,2,no_scaling,r2,0.6628530263728093,0.5741575548412049
Brazilian_houses,3,38,1,learned,r2,0.6784803511896877,0.5198882191586212
Brazilian_houses,3,38,1,no_scaling,r2,0.6606293804982228,0.5605683584748897
Brazilian_houses,3,38,2,learned,r2,0.7316182253316812,0.3499430147270683
Brazilian_houses,3,38,2,no_scaling,r2,0.6606293992754899,0.5605677990267993
Brazilian_houses,3,39,1,learned,r2,0.6877927472449074,0.5096948277382637
Brazilian_houses,3,39,1,no_scaling,r2,0.6690742226161543,0.5354789664591718
Brazilian_houses,3,39,2,learned,r2,0.6637862929935276,0.5113101420430526
Brazilian_houses,3,39,2,no_scaling,r2,0.6689366381747226,0.5358541454921625
Brazilian_houses,3,42,1,learned,r2,0.6633987183095016,0.5021081168462028
Brazilian_houses,3,42,1,no_scaling,r2,0.6631189234805756,0.5449244352342687
Brazilian_houses,3,42,2,learned,r2,0.6585693586053255,0.5049005748675932
Brazilian_houses,3,42,2,no_scaling,r2,0.6631177899608931,0.5449255731091064
Brazilian_houses,3,51,1,learned,r2,0.7357979997398745,0.3640294409928161
Brazilian_houses,3,51,1,no_scaling,r2,0.6561732378243763,0.5452087223754615
Brazilian_houses,3,51,2,learned,r2,0.6381364193761889,0.5323195085198964
Brazilian_houses,3,51,2,no_scaling,r2,0.6560396229246864,0.5455550329606871
Brazilian_houses,3,56,1,learned,r2,0.7200105746387057,0.389043528386348
Brazilian_houses,3,56,1,no_scaling,r2,0.6436505996955473,0.5758407625924096
Brazilian_houses,3,56,2,learned,r2,0.66985953672053,0.5324107101342566
Brazilian_houses,3,56,2,no_scaling,r2,0.6430958463360253,0.577310924488826
Brazilian_houses,3,66,1,learned,r2,0.6688378492904291,0.5343804573251819
Brazilian_houses,3,66,1,no_scaling,r2,0.6390558446304055,0.5761017812681557
Brazilian_houses,3,66,2,learned,r2,0.6548730624024065,0.5691757017466136
Brazilian_houses,3,66,2,no_scaling,r2,0.6390560073372304,0.5761022214899095
Brazilian_houses,3,71,1,learned,r2,0.6759131166749961,0.4994574268615837
Brazilian_houses,3,71,1,no_scaling,r2,0.6345342570792605,0.5840709030642427
Brazilian_houses,3,71,2,learned,r2,0.6648852744807682,0.5225474700210972
Brazilian_houses,3,71,2,no_scaling,r2,0.6350176174006908,0.5828017577987815
Brazilian_houses,3,72,1,learned,r2,0.6623132629631738,0.5505856704969904
Brazilian_houses,3,72,1,no_scaling,r2,0.6356634395547778,0.5805958188738982
Brazilian_houses,3,72,2,learned,r2,0.00040938975607072157,2.2142673252942227
Brazilian_houses,3,72,2,no_scaling,r2,0.6356658282730928,0.5806023871972409
Brazilian_houses,3,73,1,learned,r2,0.6574776078246758,0.4854189406849594
Brazilian_houses,3,73,1,no_scaling,r2,0.6360364770691465,0.5792207593940192
Brazilian_houses,3,73,2,learned,r2,0.725720236613778,0.39447307802598497
Brazilian_houses,3,73,2,no_scaling,r2,0.6355365637634928,0.5805187393346355
Brazilian_houses,3,75,1,learned,r2,0.6480778147279814,0.5201769583641735
Brazilian_houses,3,75,1,no_scaling,r2,0.6350854094353144,0.5794547972938608
Brazilian_houses,3,75,2,learned,r2,0.664764702378872,0.5259010835044585
Brazilian_houses,3,75,2,no_scaling,r2,0.635086016097088,0.5794532188490824
Brazilian_houses,3,78,1,learned,r2,0.627624553191049,0.5158422672299547
Brazilian_houses,3,78,1,no_scaling,r2,0.6331065393615791,0.5838878160784227
Brazilian_houses,3,78,2,learned,r2,0.734417647293483,0.3930254702853249
Brazilian_houses,3,78,2,no_scaling,r2,0.633106653606701,0.5838879489820417
Brazilian_houses,3,86,1,learned,r2,0.663767548426318,0.5269059509447608
Brazilian_houses,3,86,1,no_scaling,r2,0.6268572362131389,0.5915730094520354
Brazilian_houses,3,86,2,learned,r2,0.6652487412507729,0.5286945393916814
Brazilian_houses,3,86,2,no_scaling,r2,0.6261936535296944,0.593359126409264
Brazilian_houses,3,87,1,learned,r2,0.667010717077736,0.5292113457179124
Brazilian_houses,3,87,1,no_scaling,r2,0.6273828034795187,0.588465801883126
Brazilian_houses,3,87,2,learned,r2,0.7454348604698529,0.511600834864864
Brazilian_houses,3,87,2,no_scaling,r2,0.6273843671715469,0.5884647643522158
Brazilian_houses,3,123,1,learned,r2,0.6372280871938177,0.5668848412094628
Brazilian_houses,3,123,1,no_scaling,r2,0.6115791633403107,0.5995864262548986
Brazilian_houses,3,123,2,learned,r2,0.6181023943157627,0.5614999185973335
Brazilian_houses,3,123,2,no_scaling,r2,0.6119322518622495,0.598696113354774
Brazilian_houses,3,124,1,learned,r2,0.6229745295273103,0.5711650552935593
Brazilian_houses,3,124,1,no_scaling,r2,0.6110546393199237,0.6009232289635612
Brazilian_houses,3,124,2,learned,r2,0.6895601081270966,0.4459162516715443
Brazilian_houses,3,124,2,no_scaling,r2,0.6111100123354587,0.6007837716427844
Brazilian_houses,3,130,1,learned,r2,0.695145737643047,0.43705538722106235
Brazilian_houses,3,130,1,no_scaling,r2,0.6116115179598505,0.5968422617081305
Brazilian_houses,3,130,2,learned,r2,0.6287178146954278,0.5667013003994301
Brazilian_houses,3,130,2,no_scaling,r2,0.6118414124110122,0.5962631259470581
Brazilian_houses,4,17,1,learned,r2,0.6412331944713647,0.6724861208658015
Brazilian_houses,4,17,1,no_scaling,r2,0.6437769787650821,0.6234243149515554
Brazilian_houses,4,17,2,learned,r2,0.5647891328636251,0.6001717309585413
Brazilian_houses,4,17,2,no_scaling,r2,0.6456028729862459,0.6183575113301799
Brazilian_houses,4,22,1,learned,r2,0.6630879450108084,0.5948062474553545
Brazilian_houses,4,22,1,no_scaling,r2,0.6267873046498376,0.6720303520832704
Brazilian_houses,4,22,2,learned,r2,0.5904487852959706,0.7139789050071828
